Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value
CHEMBL1632401,CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccccc1OCc1ccccc1,'=',3200.0
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',60.0
CHEMBL304054,Cc1cccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)c1,'=',510.5
CHEMBL18498,COC1(C)OC(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,'=',100.0
CHEMBL138191,C[S+]([O-])c1ccc(C(Nc2cccnc2)C(=O)c2ccc(F)cc2)cc1,'=',500.0
CHEMBL127120,CS(=O)(=O)c1ccc(-c2[nH]c(I)cc2-c2ccc(F)cc2)cc1,'=',92300.0
CHEMBL329480,COc1ccc2c(c1)c(CC(=O)Nc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',52.0
CHEMBL1797512,CC(=O)OCO/N=[N+](/[O-])N1CCC[C@@H]1C(=O)OCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)cc1,'=',2400.0
CHEMBL1814713,Cc1ccc(-c2cc(C(C)C(=O)[O-])ccc2CC2CCCC2=O)cc1.[Na+],'=',420000.0
CHEMBL1814722,COc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1.[Na+],'=',430000.0
CHEMBL95469,COc1ccc2c(c1)c(CC(=O)Nc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',120.0
CHEMBL3104549,Cc1c(C(N)C(=O)NCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,'=',21000.0
CHEMBL118335,CCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,'=',6000.0
CHEMBL173724,CN1C(O)=C(C(=O)Nc2ccc(Br)cc2Br)c2cc(Cl)ccc2S1(=O)=O,'=',7.0
CHEMBL24363,COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)Cc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',220.0
CHEMBL365267,COc1ccc2c(-c3ccc(S(N)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,'=',26.0
CHEMBL184613,Cc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)nn2n1,'<',31.0
CHEMBL434520,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nn3nc(S(C)(=O)=O)ccc23)cc1,'=',370.0
CHEMBL261321,Nc1ccc(C(=O)Nc2ccccc2C(F)(F)F)cc1,'>',100000.0
CHEMBL406515,Nc1cccc(C(=O)Nc2ccc(C(F)(F)F)cc2)c1,'>',100000.0
CHEMBL258656,Nc1ccnc(NC(=O)c2cccc(C(F)(F)F)c2)c1,'>',100000.0
CHEMBL184281,COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,'=',470.0
CHEMBL184039,COC(=O)c1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1,'=',1100.0
CHEMBL420351,Cc1cc(=O)c(Oc2ccc(Cl)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,'=',320.04
CHEMBL274990,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,'=',310.0
CHEMBL1092136,CC(C(=O)O)c1cccn(C(F)F)c1=O,'=',5900.0
CHEMBL320273,CC1(C)OC(=O)C(Oc2cnccn2)=C1c1ccc(S(C)(=O)=O)cc1,'=',3800.0
CHEMBL280772,Cc1ccc(C)c(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)c1,'>',100000.0
CHEMBL29397,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2csc3ccccc23)cc1,'=',350.0
CHEMBL155781,CS(=O)(=O)c1ccc(-c2cnn(CCC3CC3)c(=O)c2-c2ccc(F)cc2)cc1,'=',2900.0
CHEMBL320118,COc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,'=',37600.0
CHEMBL151658,CC(O)CN1c2ccccc2Sc2ccccc21,'=',5000.0
CHEMBL226109,COc1ccc([C@H]2O[C@@H](CO)C[C@]2(O)c2ccc(OC)cc2)cc1,'<',1000.0
CHEMBL501782,O=C(O)[C@H]1C[C@](O)(c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)O1,'=',3800.0
CHEMBL108917,CC1(C)OC(=O)C(Oc2ccc(C3CC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1,'=',30.0
CHEMBL290031,Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)cc2)o1,'=',70.0
CHEMBL1171455,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O[C@@H]8OC[C@H](O)[C@H](O)[C@H]8O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O[C@@H]9OC[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@H](O)[C@H]%10O)[C@@H](O)[C@H]9O)[C@H]8O)[C@@](C)(CO)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,'>',50000.0
CHEMBL367328,CS(=O)(=O)c1ccc(-c2ccc(N)cc2-c2ccccc2)cc1,'=',254000.0
CHEMBL127267,Cc1cc(=O)c(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)o1,'=',9770.12
CHEMBL68866,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)cc2)cc1,'=',1478427.39
CHEMBL127560,Cc1cc(=O)c(Oc2ccc(OC(F)(F)F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,'=',2449.06
CHEMBL3359453,CC(C(=O)NCCc1c[nH]c2ccc(O)cc12)c1ccc(-c2ccccc2)c(F)c1,'=',8000.0
CHEMBL416363,CC1(O)OC(=O)C(c2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,'=',550.0
CHEMBL3397719,CCCC/C(=C\c1cc(OCc2cc3ccccc3s2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,'>',10000.0
CHEMBL3397720,CCCC/C(=C\c1cc(OCc2csc(-c3ccc(C(F)(F)F)cc3)n2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,'>',10000.0
CHEMBL315520,COc1c(Cl)cc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,'=',6.026
CHEMBL254418,Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)NO)cc1.O,'=',1100.0
