Smiles,Standard Relation,Standard Units,Standard Value
CC(C)Nc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,'=',nM,10.3
CC(C)Nc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,'=',nM,273.8
CCS(=O)(=O)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,'=',nM,144.5
Cc1c(-c2nn(-c3ccccc3)cc2/C=N/O)nnn1-c1ccc(F)cc1,'=',nM,50.0
COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,440.0
NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccccc2)cc1,'=',nM,2398.83
C=Cc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1,'=',nM,310.0
NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2cccc(Cl)c2)cc1,'=',nM,1499.68
CS(=O)(=O)Nc1cc2c(cc1Sc1cccs1)C(=O)CC2,'=',nM,1000.0
NS(=O)(=O)c1ccc(-c2oc3ccccc3c2-c2ccc(F)cc2)cc1,'=',nM,7.0
CS(=O)(=O)c1ccc(-c2nc(NCc3nccs3)cc(C(F)(F)F)n2)cc1,'=',nM,83.6
CS(=O)(=O)c1ccc(-c2cnn(CC3CC3)c(=O)c2-c2ccccc2)cc1,'=',nM,1300.0
CS(=O)(=O)c1ccc(-c2[nH]c(C#N)cc2-c2ccc(F)cc2)cc1,'=',nM,64400.0
CCc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,'=',nM,15.0
NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccs2)cc1,'=',nM,70.0
Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,'=',nM,100000.0
Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,'=',nM,0.08
CCCCn1c(C)c2c(c1C)C(=O)N(CN1CCN(S(C)(=O)=O)CC1)C2=O,'=',nM,43000.0
CSc1ccccc1OC(C)=O,'=',nM,250000.0
Cc1nn(-c2ccccc2)c2c1c(O)nc1ccc([N+](=O)[O-])cc12,'=',nM,550.0
Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,'=',nM,510.0
Cc1cc(F)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,'=',nM,110.0
NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CCC2)cc1,'=',nM,3.02
COc1ccccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,'=',nM,794.33
COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1F,'=',nM,12.88
CCCc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,'=',nM,100.0
CCCCCCCSc1ccccc1OC(C)=O,'=',nM,2000.0
Cc1ccc(NC(=O)c2c(N=Cc3ccco3)c(C#N)c3n2CCC3)cc1,'=',nM,190.0
CS(=O)(=O)c1ccc(Cc2nnnn2-c2ccc(CCO)cc2)cc1,'=',nM,3000.0
NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CF)cc1,'=',nM,2.0
NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CCF)cc1,'=',nM,8.0
CN(C)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,'=',nM,27.0
Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,'=',nM,51.0
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)c(Cl)c2)cc1,'=',nM,15.14
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',nM,27.0
CS(=O)(=O)c1ccc(C2=NN(C(N)=S)C(c3ccc(Cl)cc3)C2)cc1,'=',nM,9350.0
CC(=O)c1cc(/C=C/S(N)(=O)=O)cc(C(=O)c2ccccc2)c1,'=',nM,20000.0
Fc1ccc2c(C3CCN(CC4=NO[C@@H]5CCCC[C@@H]5[C@H]4c4ccccc4)CC3)noc2c1,'=',nM,4700.0
Cc1ccc(-c2cc(COC(=O)COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)nn2-c2ccccc2)cc1,'=',nM,930.0
Cc1ccc(-n2nc(COC(=O)COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)cc2-c2cccc(C)c2)cc1,'=',nM,1190.0
O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2ccc(C(F)(F)F)cc2)n(-c2ccccc2)n1,'=',nM,4330.0
COc1ccc2c(c1)c(CC(=O)Nc1ccc(SC)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,120.0
COc1ccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)cc1,'=',nM,56.0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CCC2)cc1,'=',nM,51.0
COc1ccc(-c2nc3cc(NC(=O)c4cccc([N+](=O)[O-])c4)ccc3o2)cc1OC,'=',nM,930.0
CS(=O)(=O)c1ccc(-c2snnc2-c2ccc(F)cc2)cc1,'=',nM,6500.0
COc1ccc2cc([C@H](C)C(=O)NC(Cn3cncn3)C(=O)c3ccccc3)ccc2c1,'=',nM,1960.0
Cc1c(C(=O)N2CCN(c3ccccc3)CC2)nc2ccc(Cl)cc2c1O,'=',nM,1130.0
CCOP(=O)(OCC)C(NC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(Br)cc1,'=',nM,280.0
CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc(OC)c2)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,'=',nM,280.0
COc1ccc(-c2cc(-c3ccc(F)cc3)n(-c3ccc(S(N)(=O)=O)cc3)n2)cc1OC,'=',nM,43.0
NC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1cn(-c2ccccc2)nc1-c1ccccc1,'=',nM,1090.0
CC(C)=CC[C@H]1C[C@@H]2C[C@@H]3[C@@H](C[C@]4(C)C(C)(C)OC[C@]34C)C(=O)[C@](C(=O)c3ccccc3)(C1=O)C2(C)C,'=',nM,5270.0
COc1cc(/C=C2\C(=O)N(c3ccc(S(N)(=O)=O)cc3)N=C2C)ccc1OCC#N,'=',nM,150.0
CCCCCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,'=',nM,90.0
C[C@H](Oc1ncc(C(F)(F)F)cc1-c1ccc(S(C)(=O)=O)cc1)C(C)(C)O,'=',nM,460.0
CCc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1,'=',nM,240.0
CS(=O)(=O)c1ccc(C2=C(c3ccccn3)C(=O)CC2)cc1,'=',nM,9800.0
CCSc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)o1,'=',nM,6500.0
COC1(c2cc(F)cc(OCc3cc(-c4ccccc4)n(-c4ccc(S(C)(=O)=O)cc4)n3)c2)CCOCC1,'=',nM,50.0
CN1C/C(=C\c2ccc(O)s2)C2=NN(c3ccccc3)C(c3ccc(O)s3)C2C1,'=',nM,2.0
Cc1sc(/C=C2\CN(C)CC3C2=NN(c2ccccc2)C3c2cc(Br)c(C)s2)cc1Br,'=',nM,2.0
C/C(=C/C(=O)Nc1nccs1)Nc1ccc(Cl)cc1,'=',nM,90.0
O=C(c1ccc(-c2nc(CSc3nc4ccccc4s3)no2)cc1)N1CCOCC1,'=',nM,5000.0
COc1ccc(-c2ncn(CC(=O)N3CCN(C)CC3)c2-c2ccc(OC)cc2)cc1,'=',nM,8320.0
COc1ccc(-c2ncn(CC(=O)N3CCOCC3)c2-c2ccc(OC)cc2)cc1,'=',nM,9120.0
Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Oc1ccc(F)cc1,'=',nM,2000.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)NCCCCCCC(=O)NO)cc2)cc1,'=',nM,300.0
Cc1ccc(S(=O)(=O)n2cc(C(=O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)c3ccccc32)cc1,'=',nM,13500.0
Cc1nn(-c2ccccc2)c(N2CCN(C)CC2)c1/C=N/Nc1nc2ccccc2nc1O,'=',nM,480.0
C=CCONC1=NC(=O)/C(=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)S1,'=',nM,2700.0
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)C(=O)OC2)cc1,'=',nM,800.0
Cc1cc(=O)c(-c2ccc(Cl)c(Cl)c2)c(-c2ccc(S(C)(=O)=O)cc2)o1,'=',nM,680.0
COCCOc1nc(OCC(C)(C)O)c(-c2ccc(S(C)(=O)=O)cc2)cc1CO,'=',nM,2950.0
CCCCOc1nc(OCC2(O)COC2)c(-c2ccc(S(C)(=O)=O)cc2)cc1CO,'=',nM,1320.0
CCCCOc1nc(OCC(C)(C)O)c(-c2ccc(S(N)(=O)=O)cn2)cc1CO,'=',nM,450.0
Cc1cc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)ccc1Cl,'=',nM,6.0
CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc3c(c2)OCO3)cc1,'=',nM,12.0
CCCCCCCCCCCCCCCc1cccc(OC)c1CSc1nc2ccccc2s1,'=',nM,1060.0
Cc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,'=',nM,14.0
CCCc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,'=',nM,42.0
Nc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccccc1,'=',nM,29700.0
c1ccc([C@H]2C(Cn3c4ccccc4c4ccccc43)=NO[C@@H]3CCCC[C@H]23)cc1,'=',nM,9900.0
CC1(C)CC(c2ccc(Cl)cc2)C(Cn2c3ccccc3c3ccccc32)=NO1,'=',nM,3900.0
Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Cc1ccc(F)cc1,'=',nM,80.0
CCc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1,'=',nM,1380.0
N#Cc1c(N=Cc2cccnc2)c(C(=O)Nc2ccc(Cl)cc2)n2c1CCC2,'=',nM,680.0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCCOc2ccccc2)c1Cl,'=',nM,66000.0
CC(=O)OCO/N=[N+](\[O-])N(C)CCOC(=O)Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(C)(=O)=O)cc2)cc1,'=',nM,4600.0
Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1,'=',nM,26.0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)CC2)cc1,'=',nM,11.0
COc1ccc2c(c1)c(CC(N)=O)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,700.0
COc1ccc2c(c1)c(CC(=O)Nc1cccc(SC)c1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,220.0
Cc1c(CC(=O)NC(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,'=',nM,4910.0
CCN1C(C)=CC/C1=N/N=C(\C)c1cc2ccccc2oc1=O,'=',nM,310.0
C/C(=N\N=C1\CC(C)C(=O)N1C)c1cc2ccccc2oc1=O,'=',nM,390.0
CC1(C)OC(=O)C(Oc2cccc(Cl)n2)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,3600.0
O=C(O)c1cc(-c2ccn(C(F)F)c(=O)c2)ccc1O,'=',nM,980.0
CC1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)ON1C,'=',nM,4.2
COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1OC,'=',nM,64.57
CS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc3c(c2)OCO3)cc1,'=',nM,12.02
Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)ccc(F)c2F)cc1,'=',nM,6.918
Cc1cc(=O)c(-c2cccc(F)c2)c(-c2ccc(S(C)(=O)=O)cc2)o1,'=',nM,3369.77
O=C(O)Cc1cccn1-c1ccc2c(c1)OCCO2,'=',nM,2200.0
CS(=O)(=O)c1ccc2c(Sc3ccccc3Cl)c(C#N)[nH]c2c1,'=',nM,570.0
CS(=O)(=O)c1ccc2c(Sc3ccc(F)cc3F)c(C(N)=O)[nH]c2c1,'=',nM,2240.0
Nc1ccc(-c2nc3ccccc3n2-c2ccc(N)cc2)cc1,'=',nM,173000.0
CC(C)C[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)O,'=',nM,28000.0
NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OCCO[N+](=O)[O-])c(F)c2)cc1,'=',nM,29000.0
O=S(=O)(Nc1ccncc1Oc1ccc(Br)cc1)C(F)(F)F,'=',nM,13840.0
CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3cccs3)n2)cc1,'=',nM,12.7
CC[C@H](CO)NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,'=',nM,100.0
CCOC(=O)C1=C(N)n2c(=O)ccc(=O)n2C1c1ccccc1O,'=',nM,90.1
Cc1oc(=O)n(-c2ccc(Cl)c(Cl)c2)c1-c1ccc(S(N)(=O)=O)cc1,'=',nM,230.14
CCCCCC1=CC(=O)C=C(OC)C1=O,'=',nM,1900.0
CN(C)S(=O)(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccc(F)cc2)cc1,'=',nM,7500.0
[3H]C([3H])([3H])c1cc(Br)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,'=',nM,14.0
COc1cc(C2CC(c3ccco3)=NN2c2ccc(S(N)(=O)=O)cc2)cc(OC)c1OC,'=',nM,1970.0
Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,'=',nM,3.0
O=C1NC(=S)S/C1=C\c1ccc(OCc2cn(CC(=O)c3ccc(Cl)cc3)nn2)cc1,'=',nM,150.0
COC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,'=',nM,80.0
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CNC(=O)OCc1ccccc1)C(C)C)C(=O)O,'=',nM,300.0
COC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CNC(=O)OCc1ccccc1)C(C)C,'=',nM,19000.0
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)CNC(=O)OCc1ccccc1)C(C)C)C(=O)O,'=',nM,8000.0
CS(=O)(=O)c1ccc(-c2cnn(Cc3ccccc3)c(=O)c2Oc2ccc(F)cc2)cc1,'=',nM,20.0
CSc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1,'=',nM,290.0
CCCCOc1nc(OCC(C)(C)O)c(-c2ccc(S(C)(=O)=O)cc2)cc1C(C)(C)O,'=',nM,1210.0
COC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)CN)C(C)C,'=',nM,8000.0
COC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)CNC(=O)OCc1ccccc1)C(C)C,'=',nM,100.0
CSc1ccc(-c2cscc2-c2ccc(SC)cc2)cc1,'=',nM,101000.0
CCCCCCCCCNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,'=',nM,40.0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)N(c3cccc(Cl)c3)C2)cc1,'=',nM,1000.0
Cc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1,'=',nM,6900.0
CS(=O)(=O)c1ccc(-c2cnn(-c3ccccc3)c(=O)c2-c2ccccc2)cc1,'=',nM,80.0
CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2cccnc2)cc1,'=',nM,34.0
NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,'=',nM,14.0
COc1ccc2c(c1)c(CCNS(=O)(=O)CCCO[N+](=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,1200.0
CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(C3CC3)nc2)cc1,'=',nM,1800.0
CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3ccccc3)n2)cc1,'=',nM,10.9
COc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,'=',nM,272.3
COc1ccc2c(c1)c(CCNC(=O)NCCCO[N+](=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,10000.0
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1,'=',nM,50.0
O=C(O)C1=Cc2cc(S(F)(F)(F)(F)F)cc(Br)c2O[C@H]1C(F)(F)F,'=',nM,340.0
COc1ccc2ccc(=O)oc2c1C/C=C(\C)COC(=O)C=C(C)C,'=',nM,45300.0
Cc1ccc(Nc2ccccc2C(=O)NCCc2c[nH]c3ccccc23)cc1,'=',nM,5960.0
Cc1c(C(=O)c2ccccc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,'=',nM,1020.0
CCCCOc1nc(OCC2(O)CCC2)c(-c2ccc(S(C)(=O)=O)cc2)cc1CO,'=',nM,146.0
Cc1cncc(Nc2ccccc2C(=O)NCCc2c[nH]c3ccccc23)c1,'=',nM,17650.0
Cc1ccc(N(C)c2nc(-c3ccc(S(C)(=O)=O)cc3)cc(C(F)(F)F)n2)cc1,'=',nM,3.0
COc1ccccc1C1=Cc2ccccc2C1,'=',nM,62300.0
O=C1NC(=O)/C(=C/c2ccc(OCc3cn(-c4ccc(C(=O)O)cc4)nn3)cc2)S1,'=',nM,450.0
CS(=O)(=O)c1ccc2c(Sc3ccc(F)cc3)c(C(N)=O)[nH]c2c1,'=',nM,1210.0
Cc1ccc(S(=O)(=O)n2cc(C(=O)C(=O)N[C@H](Cc3cnc[nH]3)C(=O)N[C@H](CCC(=O)O)C(=O)O)c3ccccc32)cc1,'=',nM,21310.0
CCOc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,'=',nM,274.0
NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,'=',nM,1.995
CC(=O)OCCCCCSc1ccccc1OC(C)=O,'=',nM,50000.0
C#CCSc1ccccc1OC(C)=O,'=',nM,25000.0
CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,'=',nM,40.0
Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(N)(=O)=O)cc2)o1,'=',nM,12.0
NS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)NC2=O)cc1,'=',nM,15620.0
CC(C)(C)C#CC1=C(c2ccc(S(C)(=O)=O)cc2)CCC1=O,'=',nM,5200.0
Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1,'=',nM,85.0
COc1cc(/C=C/C(=O)c2ccc(Nc3nc(N4CCCCC4)nc(N4CCCCC4)n3)cc2)cc(OC)c1OC,'=',nM,1630.0
C=Cc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1,'=',nM,730.0
NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CO)cc1,'=',nM,180.0
COc1ccccc1-c1cc(C(F)(F)F)nn1-c1ccc(S(N)(=O)=O)c(CO)c1,'=',nM,28600.0
CC(C)c1cc(/C=C2\SC(N=C(N)N)=NC2=O)cc(C(C)C)c1O,'=',nM,1800.0
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccccc2)cc1CO,'=',nM,3450.0
NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,'=',nM,1.0
COc1ccc2c(c1)c(Cc1nc(-c3ccc(C(=O)O)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,120.0
COCCCNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl,'=',nM,11000.0
Cc1ccccc1C1C2COc3ccccc3C2=NN1c1ccc(S(N)(=O)=O)cc1,'=',nM,460.0
NS(=O)(=O)c1ccc(N2N=C3c4ccccc4CCC3C2c2ccccc2Br)cc1,'=',nM,12680.0
CN(C)c1ccc(/C=C/C(=O)/C=C/c2ccc(N(C)C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,'=',nM,15000.0
Cc1cccc(Oc2c(-c3ccc(S(C)(=O)=O)cc3)oc(C)cc2=O)c1,'=',nM,1350.0
COC(=O)CC1N(C(=O)Nc2ccccc2)C(=O)c2ccccc2S1(=O)=O,'=',nM,445300.0
COC(=O)CC1N(C(=O)Nc2nc(C)cs2)C(=O)c2ccccc2S1(=O)=O,'=',nM,19100.0
CONC1=NC(=O)/C(=C/c2cc(C(C)C)c(O)c(C(C)C)c2)S1,'=',nM,570.0
CN(C)c1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,'=',nM,3200.0
O=C(O)C1=Cc2cc(S(F)(F)(F)(F)F)ccc2O[C@@H]1C(F)(F)F,'=',nM,10.0
Cc1cncc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)c1,'=',nM,87.0
CS(=O)(=O)c1ccc(C2=C(c3cccc(F)c3)C(=O)OC2)cc1,'=',nM,1800.0
COC(=O)c1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1F,'=',nM,380.0
Cc1nc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(Cl)cc2)s1,'=',nM,18.0
COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2F)cc1,'=',nM,150.0
Cc1ccc(NC(=O)c2c(N=Cc3cccs3)c(C#N)c3n2CCC3)cc1,'=',nM,110.0
CC1(C)OC(=O)C(Oc2ccc(F)cc2F)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,20.0
Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(C)c2)o1,'=',nM,2000.0
COc1ccncc1C1=C(c2ccc(S(C)(=O)=O)cc2)CCC1=O,'=',nM,90.0
CC1(C)OC(=O)C(Oc2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,50.0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCC(=O)O)c1Cl,'=',nM,300.0
Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Cc1ccccc1Cl,'=',nM,5500.0
CS(=O)(=O)c1ccc(-c2ccccc2-c2ccc(F)cc2)cc1,'=',nM,263.03
CS(=O)(=O)c1ccc(-c2ccc(Cl)c(Cl)c2-c2ccc(F)cc2)cc1,'=',nM,239.88
COc1ccc2c(c1)c(CC(=O)Oc1ccc(SC)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,300.0
CS(=O)(=O)c1ccc(C2=C(c3cc4ccccc4s3)C(=O)CC2)cc1,'=',nM,80.0
CC(=O)OCO/N=[N+](\[O-])N1CCC[C@H]1COC(=O)c1ccccc1OC(C)=O,'=',nM,2200.0
C=Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,'=',nM,18.0
C#Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,'=',nM,43.0
NS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2cccc3ccccc23)cc1,'=',nM,100.0
O=S(=O)(c1ccccc1)N1N=C(C(F)(F)F)CC1c1cccc2c1OCO2,'=',nM,60980.0
CS(=O)(=O)c1ccc(N2CCN=C2c2ccc(Cl)cc2)cc1,'=',nM,7100.0
CCOc1cc(/C=N/c2ccc(S(N)(=O)=O)cc2)ccc1O,'=',nM,3690.0
COc1cccc(/C=N/c2ccc(S(N)(=O)=O)cc2)c1,'=',nM,5450.0
NS(=O)(=O)c1ccc(/N=C/c2ccc(O)cc2)cc1,'=',nM,3420.0
C[C@@H]1C[C@@H]2OC(=O)[C@]3(C)[C@H]2[C@@H](OC3(C)O)[C@]2(C)C(=O)C=C[C@@H]12,'=',nM,18000.0
Cc1nc(-c2ccc(Cl)cc2)c(-c2ccc(S(N)(=O)=O)cc2)s1,'=',nM,5.0
NS(=O)(=O)c1ccc(-n2nc(NC(=O)NCCCC(=O)O)cc2-c2ccccc2)cc1,'=',nM,1990.0
NS(=O)(=O)c1ccc(-n2nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)cc2-c2ccccc2)cc1,'=',nM,1240.0
NS(=O)(=O)c1ccc(-c2nc(NCc3ccccn3)cc(C(F)(F)F)n2)cc1,'=',nM,3000.0
CS(=O)(=O)Nc1cc2c(cc1Sc1nccs1)C(=O)CC2,'=',nM,320.0
CC(=O)Oc1ccccc1SCCCCCCI,'=',nM,10000.0
COc1cc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)ccc1F,'=',nM,8.0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC(C(F)(F)F)(C(F)(F)F)C2)cc1,'=',nM,67.61
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cncc(Br)c2)cc1,'=',nM,954.99
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2C2=CCCCC2)cc1,'=',nM,83.18
Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)nc1,'=',nM,730.0
CN1CCN(C(=O)CNc2nc(-c3ccccc3)c(-c3ccccc3)s2)CC1,'=',nM,11020.0
CS(=O)(=O)c1ccc(-c2cnn(Cc3ccccc3)c(=O)c2-c2ccccc2)cc1,'=',nM,900.0
COc1ccc(-c2ncn(CC(=O)N3CCCCC3)c2-c2ccc(OC)cc2)cc1,'=',nM,14120.0
O=C(Cn1cnc(-c2ccccc2)c1-c1ccccc1)N1CCOCC1,'=',nM,11120.0
CC(C)(O)CSc1ncc(C(F)(F)F)cc1-c1ccc(S(C)(=O)=O)cc1,'=',nM,700.0
CS(=O)(=O)c1ccc(-c2cnn(Cc3cccnc3)c(=O)c2-c2ccccc2)cc1,'=',nM,7100.0
COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CN(c3ccc(F)cc3)C2=O)cc1,'=',nM,300.0
CS(=O)(=O)c1ccc(-c2cnn(C3CC3)c(=O)c2-c2ccc(F)cc2)cc1,'=',nM,110.0
CS(=O)(=O)c1ccc(-c2cc3c(cc2C=C2CCCCCC2)OCO3)cc1,'=',nM,200.0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)N(c3ccccc3)C2)cc1,'=',nM,280.0
Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)cnn(Cc3ccccc3)c2=O)cn1,'=',nM,1200.0
CC1(C)CC(c2ccccc2)C(CN2CCC(c3noc4cc(F)ccc34)CC2)=NO1,'=',nM,10500.0
